symbol,date,price
interactive,Jan 2000,1394.46
interactive,Feb 2000,1366.42
interactive,Mar 2000,1498.58
interactive,Apr 2000,1452.43
interactive,May 2000,1420.6
interactive,Jun 2000,1454.6
interactive,Jul 2000,1430.83
interactive,Aug 2000,1517.68
interactive,Sep 2000,1436.51
interactive,Oct 2000,1429.4
interactive,Nov 2000,1314.95
interactive,Dec 2000,1320.28
interactive,Jan 2001,1366.01
interactive,Feb 2001,1239.94
interactive,Mar 2001,1160.33
interactive,Apr 2001,1249.46
interactive,May 2001,1255.82
interactive,Jun 2001,1224.38
interactive,Jul 2001,1211.23
interactive,Aug 2001,1133.58
interactive,Sep 2001,1040.94
interactive,Oct 2001,1059.78
interactive,Nov 2001,1139.45
interactive,Dec 2001,1148.08
interactive,Jan 2002,1130.2
interactive,Feb 2002,1106.73
interactive,Mar 2002,1147.39
interactive,Apr 2002,1076.92
interactive,May 2002,1067.14
interactive,Jun 2002,989.82
interactive,Jul 2002,911.62
interactive,Aug 2002,916.07
interactive,Sep 2002,815.28
interactive,Oct 2002,885.76
interactive,Nov 2002,936.31
interactive,Dec 2002,879.82
interactive,Jan 2003,855.7
interactive,Feb 2003,841.15
interactive,Mar 2003,848.18
interactive,Apr 2003,916.92
interactive,May 2003,963.59
interactive,Jun 2003,974.5
interactive,Jul 2003,990.31
interactive,Aug 2003,1008.01
interactive,Sep 2003,995.97
interactive,Oct 2003,1050.71
interactive,Nov 2003,1058.2
interactive,Dec 2003,1111.92
interactive,Jan 2004,1131.13
interactive,Feb 2004,1144.94
interactive,Mar 2004,1126.21
interactive,Apr 2004,1107.3
interactive,May 2004,1120.68
interactive,Jun 2004,1140.84
interactive,Jul 2004,1101.72
interactive,Aug 2004,1104.24
interactive,Sep 2004,1114.58
interactive,Oct 2004,1130.2
interactive,Nov 2004,1173.82
interactive,Dec 2004,1211.92
interactive,Jan 2005,1181.27
interactive,Feb 2005,1203.6
interactive,Mar 2005,1180.59
interactive,Apr 2005,1156.85
interactive,May 2005,1191.5
interactive,Jun 2005,1191.33
interactive,Jul 2005,1234.18
interactive,Aug 2005,1220.33
interactive,Sep 2005,1228.81
interactive,Oct 2005,1207.01
interactive,Nov 2005,1249.48
interactive,Dec 2005,1248.29
interactive,Jan 2006,1280.08
interactive,Feb 2006,1280.66
interactive,Mar 2006,1294.87
interactive,Apr 2006,1310.61
interactive,May 2006,1270.09
interactive,Jun 2006,1270.2
interactive,Jul 2006,1276.66
interactive,Aug 2006,1303.82
interactive,Sep 2006,1335.85
interactive,Oct 2006,1377.94
interactive,Nov 2006,1400.63
interactive,Dec 2006,1418.3
interactive,Jan 2007,1438.24
interactive,Feb 2007,1406.82
interactive,Mar 2007,1420.86
interactive,Apr 2007,1482.37
interactive,May 2007,1530.62
interactive,Jun 2007,1503.35
interactive,Jul 2007,1455.27
interactive,Aug 2007,1473.99
interactive,Sep 2007,1526.75
interactive,Oct 2007,1549.38
interactive,Nov 2007,1481.14
interactive,Dec 2007,1468.36
interactive,Jan 2008,1378.55
interactive,Feb 2008,1330.63
interactive,Mar 2008,1322.7
interactive,Apr 2008,1385.59
interactive,May 2008,1400.38
interactive,Jun 2008,1280
interactive,Jul 2008,1267.38
interactive,Aug 2008,1282.83
interactive,Sep 2008,1166.36
interactive,Oct 2008,968.75
interactive,Nov 2008,896.24
interactive,Dec 2008,903.25
interactive,Jan 2009,825.88
interactive,Feb 2009,735.09
interactive,Mar 2009,797.87
interactive,Apr 2009,872.81
interactive,May 2009,919.14
interactive,Jun 2009,919.32
interactive,Jul 2009,987.48
interactive,Aug 2009,1020.62
interactive,Sep 2009,1057.08
interactive,Oct 2009,1036.19
interactive,Nov 2009,1095.63
interactive,Dec 2009,1115.1
interactive,Jan 2010,1073.87
interactive,Feb 2010,1104.49
interactive,Mar 2010,1140.45
book,Jan 2000,39.81
book,Feb 2000,36.35
book,Mar 2000,43.22
book,Apr 2000,28.37
book,May 2000,25.45
book,Jun 2000,32.54
book,Jul 2000,28.4
book,Aug 2000,28.4
book,Sep 2000,24.53
book,Oct 2000,28.02
book,Nov 2000,23.34
book,Dec 2000,17.65
book,Jan 2001,24.84
book,Feb 2001,24
book,Mar 2001,22.25
book,Apr 2001,27.56
book,May 2001,28.14
book,Jun 2001,29.7
book,Jul 2001,26.93
book,Aug 2001,23.21
book,Sep 2001,20.82
book,Oct 2001,23.65
book,Nov 2001,26.12
book,Dec 2001,26.95
book,Jan 2002,25.92
book,Feb 2002,23.73
book,Mar 2002,24.53
book,Apr 2002,21.26
book,May 2002,20.71
book,Jun 2002,22.25
book,Jul 2002,19.52
book,Aug 2002,19.97
book,Sep 2002,17.79
book,Oct 2002,21.75
book,Nov 2002,23.46
book,Dec 2002,21.03
book,Jan 2003,19.31
book,Feb 2003,19.34
book,Mar 2003,19.76
book,Apr 2003,20.87
book,May 2003,20.09
book,Jun 2003,20.93
book,Jul 2003,21.56
book,Aug 2003,21.65
book,Sep 2003,22.69
book,Oct 2003,21.45
book,Nov 2003,21.1
book,Dec 2003,22.46
book,Jan 2004,22.69
book,Feb 2004,21.77
book,Mar 2004,20.46
book,Apr 2004,21.45
book,May 2004,21.53
book,Jun 2004,23.44
book,Jul 2004,23.38
book,Aug 2004,22.47
book,Sep 2004,22.76
book,Oct 2004,23.02
book,Nov 2004,24.6
book,Dec 2004,24.52
book,Jan 2005,24.11
book,Feb 2005,23.15
book,Mar 2005,22.24
book,Apr 2005,23.28
book,May 2005,23.82
book,Jun 2005,22.93
book,Jul 2005,23.64
book,Aug 2005,25.35
book,Sep 2005,23.83
book,Oct 2005,23.8
book,Nov 2005,25.71
book,Dec 2005,24.29
book,Jan 2006,26.14
book,Feb 2006,25.04
book,Mar 2006,25.36
book,Apr 2006,22.5
book,May 2006,21.19
book,Jun 2006,21.8
book,Jul 2006,22.51
book,Aug 2006,24.13
book,Sep 2006,25.68
book,Oct 2006,26.96
book,Nov 2006,27.66
book,Dec 2006,28.13
book,Jan 2007,29.07
book,Feb 2007,26.63
book,Mar 2007,26.35
book,Apr 2007,28.3
book,May 2007,29.11
book,Jun 2007,27.95
book,Jul 2007,27.5
book,Aug 2007,27.34
book,Sep 2007,28.04
book,Oct 2007,35.03
book,Nov 2007,32.09
book,Dec 2007,34
book,Jan 2008,31.13
book,Feb 2008,26.07
book,Mar 2008,27.21
book,Apr 2008,27.34
book,May 2008,27.25
book,Jun 2008,26.47
book,Jul 2008,24.75
book,Aug 2008,26.36
book,Sep 2008,25.78
book,Oct 2008,21.57
book,Nov 2008,19.66
book,Dec 2008,18.91
book,Jan 2009,16.63
book,Feb 2009,15.81
book,Mar 2009,17.99
book,Apr 2009,19.84
book,May 2009,20.59
book,Jun 2009,23.42
book,Jul 2009,23.18
book,Aug 2009,24.43
book,Sep 2009,25.49
book,Oct 2009,27.48
book,Nov 2009,29.27
